"rank","movie.name","movie.cast","movie.link","year","votes","rating"
136,"O Segredo dos Seus Olhos","Juan Jos<U+00E9> Campanella (dir.), Ricardo Dar<U+00ED>n, Soledad Villamil","http://www.imdb.com/title/tt1305806/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_136","2009",160613,8.2
137,"Em Busca do Ouro","Charles Chaplin (dir.), Charles Chaplin, Mack Swain","http://www.imdb.com/title/tt0015864/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_137","1925",82859,8.2
138,"O Castelo Animado","Hayao Miyazaki (dir.), Chieko Baish<U+00F4>, Takuya Kimura","http://www.imdb.com/title/tt0347149/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_138","2004",259568,8.2
139,"A Ponte do Rio Kwai","David Lean (dir.), William Holden, Alec Guinness","http://www.imdb.com/title/tt0050212/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_139","1957",175139,8.2
140,"Sindicato de Ladr<U+00F5>es","Elia Kazan (dir.), Marlon Brando, Karl Malden","http://www.imdb.com/title/tt0047296/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_140","1954",120380,8.2
141,"Divertida Mente","Pete Docter (dir.), Amy Poehler, Bill Hader","http://www.imdb.com/title/tt2096673/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_141","2015",479774,8.2
142,"Jogos, Trapa<U+00E7>as e Dois Canos Fumegantes","Guy Ritchie (dir.), Jason Flemyng, Dexter Fletcher","http://www.imdb.com/title/tt0120735/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_142","1998",468890,8.2
143,"O S<U+00E9>timo Selo","Ingmar Bergman (dir.), Max von Sydow, Gunnar Bj<U+00F6>rnstrand","http://www.imdb.com/title/tt0050976/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_143","1957",132731,8.2
144,"Uma Mente Brilhante","Ron Howard (dir.), Russell Crowe, Ed Harris","http://www.imdb.com/title/tt0268978/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_144","2001",718069,8.2
145,"Cassino","Martin Scorsese (dir.), Robert De Niro, Sharon Stone","http://www.imdb.com/title/tt0112641/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_145","1995",387273,8.2
146,"O Quarto de Jack","Lenny Abrahamson (dir.), Brie Larson, Jacob Tremblay","http://www.imdb.com/title/tt3170832/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_146","2015",273532,8.2
147,"A Mulher Faz o Homem","Frank Capra (dir.), James Stewart, Jean Arthur","http://www.imdb.com/title/tt0031679/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_147","1939",92064,8.1
148,"O Homem Elefante","David Lynch (dir.), Anthony Hopkins, John Hurt","http://www.imdb.com/title/tt0080678/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_148","1980",188573,8.1
149,"O Lobo de Wall Street","Martin Scorsese (dir.), Leonardo DiCaprio, Jonah Hill","http://www.imdb.com/title/tt0993846/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_149","2013",948781,8.1
